C:\Agilent\ICPMH\1\DATA\141215_Antony_Zircon.b\Temora-5.d,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 15/12/2014 8:02:24 PM using Batch 141215_Antony_Zircon.b,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Li7,Mg24,Al27,Si29,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
0.541,41,3,3,271.19,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.072,42,2,4,291.21,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.603,60,2,5,271.19,46,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.134,48,5,7,283.2,73,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2.665,68,2,8,250.16,83.01,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.196,57,4,3,274.19,87.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.727,46,6,8,293.22,82.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
4.259,54,3,7,292.22,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.79,51,4,11,262.17,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.321,59,6,4,257.17,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.852,41,0,10,256.17,52,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
6.383,52,4,2,256.17,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6.914,43,0,6,242.15,47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.445,36,2,5,231.13,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7.976,51,0,5,308.24,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.507,42,2,7,268.18,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9.038,35,2,9,256.17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9.569,47,4,7,263.17,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
10.1,50,2,5,245.15,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.631,34,2,6,224.13,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.163,60,0,7,242.15,78.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.694,57,4,0,259.17,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.225,52,2,2,272.19,54,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
12.756,60,6,2,315.25,62,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
13.287,36,1,5,265.18,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.818,54,2,1,238.14,62,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.349,54,0,7,290.21,69,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
