statistic,sample,rep,Li7,Mg24,Al27,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
H15_mean,117,0,0.0004856583413090179,0.00018415452037981363,0.0006397011052964854,0.010956037316965204,-0.00016583695271426172,1.8260676222368145e-05,0.007370519957146421,6.261263029570336e-08,2.8410980045663306e-06,1.075527739340574e-07,1.5947541510601772e-06,4.7661813587706015e-06,2.0966262505918212e-07,4.259183905064989e-05,2.1435274286552727e-05,0.000313677448577988,0.00013120838420801052,0.0006674519039101234,0.00014677814927503997,0.001376111034332059,0.0002371300549747306,0.012085919467343815,0.00012744421332062136,6.504192790256211e-05,0.00044671285906514214
H15_mean,119,0,0.00046385146195348446,1.3731304896644946e-06,9.965591704410777e-05,0.011448712811880396,-0.00020650700607009796,1.634023681628687e-05,0.007376925032278319,2.2218463092751027e-07,2.33314142868115e-06,2.770576865929266e-07,2.104984217661107e-06,4.626428036404846e-06,2.0583684389839182e-07,3.837016775659384e-05,1.9408241008597778e-05,0.00030021495190958526,0.0001310932711777029,0.0006900703780782495,0.00015150991092274796,0.0013700542755428727,0.00025526836162700277,0.01219913157041706,0.00015159269014268365,5.704135992391347e-05,0.00047791252100398034
H15_mean,120,0,0.0003127605910610609,7.849257931256905e-05,0.0009728657611857498,0.008753543167842897,0.0015157335478960688,9.596184653936003e-05,0.006583449696228349,2.5925617915736365e-06,1.6858692683548012e-05,2.2530189664781262e-06,1.1362366474157834e-05,1.6270077318881944e-05,7.202137012666986e-07,6.286619237123861e-05,2.6131523791856576e-05,0.0003245951345304084,0.00011386292628559529,0.0005480378940609151,0.0001170202812576399,0.0010172064246692343,0.00017818091552390826,0.011321560441401462,9.689213357927619e-05,8.727765115507292e-05,0.0003352854420628225
H15_mean,121,0,0.0003485451341637806,6.352021407495217e-05,0.00047793644664454973,0.008157294430576405,0.0006528697100063588,4.1457810229484924e-05,0.006032090892227892,2.4881394847874065e-06,1.4151525456682818e-05,2.042489488773568e-06,1.0651225674127657e-05,1.222938389835471e-05,7.039714092753396e-07,4.8603958372859176e-05,2.0724253483033944e-05,0.0002818855195207107,0.00010741369865635464,0.0005316842863472002,0.00011620142032663576,0.0010356910396387903,0.00019037113096892017,0.01260336551549466,0.0001028199117329332,6.195771252092355e-05,0.0003817503176666922
H15_mean,126,0,,,,,,,,,,,,,,,,,,,,,,,,,
H15_mean,Temora-5,0,8.711139640801972e-06,5.110993975144657e-08,9.344793379390523e-06,0.0008397857612561557,2.421059167873086e-05,3.277547130804073e-05,0.0021114704501568257,2.3270247096410956e-08,3.948220043872272e-06,2.4205020824407793e-07,2.7961215655029817e-06,4.328531079720444e-06,1.163813600802721e-06,2.0459311143273654e-05,7.036937661546324e-06,8.864857160381759e-05,3.6351543484032204e-05,0.00018543707863591193,3.958638728021439e-05,0.0003727723952364271,7.789982103405969e-05,0.007263404610249752,3.343192765399173e-05,4.907348419952742e-05,0.00010869692209015327
H15_mean,127,0,0.00019388226491752562,3.7190137699792486e-06,9.282365804923875e-05,0.009771945427030476,3.8635178964259846e-05,2.5713816071564392e-05,0.0069553098838262715,5.555269866819045e-09,2.8961306029572962e-06,7.859826276122415e-08,1.2918286900211732e-06,5.222719666893367e-06,2.3941723986760457e-07,4.3643231837770466e-05,2.028297594465149e-05,0.000292318995671815,0.00012164802168081895,0.0006170141124329518,0.00012942579792894358,0.0011326827390990212,0.0002106925626194611,0.011658720775567146,0.00011669687425613958,8.370274016509495e-05,0.0003826875992727472
H15_mean,128,0,0.00011820659390788207,-3.0386917886110615e-07,5.60545166438018e-05,0.006975585204763256,7.023802900376035e-05,2.023127550734169e-05,0.005023801371492584,1.5271111451688393e-08,1.0774300509192321e-05,8.526190824863455e-08,1.237353692779107e-06,3.959644029331183e-06,3.1896545373690445e-07,3.335099492106952e-05,1.4896391172335703e-05,0.00020969244640221924,8.754926456479805e-05,0.00045110895790317565,9.342467583171795e-05,0.0008077391375190264,0.00015461153293227026,0.01089638974760374,0.00010141607513166084,9.202122721738521e-05,0.0003137167475083373
H15_mean,131,0,0.00018478991497352819,1.5890643544570745e-06,8.631884884565282e-05,0.009204237663634656,3.253428105673067e-06,1.7868333777175053e-05,0.006185942336372772,-1.4809613158831733e-09,2.425390922500218e-06,5.672588758373197e-08,8.328424727611531e-07,3.926317369386505e-06,1.508868227605571e-07,3.4126173906020794e-05,1.659426943714249e-05,0.00025460055454963615,0.00010742091604789177,0.0005610476997950233,0.00011840990189779836,0.001039926348193638,0.0001943702988687395,0.011809811838123336,0.00010822179421334416,5.773808456701248e-05,0.00034238151185568956
H15_mean,134,0,0.00024589739673795723,3.4372202220472566e-06,6.430562627311757e-05,0.010060243610367023,7.332702022138897e-05,1.700762920428958e-05,0.006815788922326839,7.131233855356961e-07,6.715191549062641e-06,5.900574362969295e-07,3.2819689265692187e-06,5.460993499223546e-06,3.34138653423498e-07,3.817327128616203e-05,1.838606202033168e-05,0.0002786479421852593,0.0001190615643421245,0.0006147081488458881,0.00012904772977711087,0.0011351109559429192,0.00021563658549344426,0.011544699985670417,0.0001898529075931795,0.00011279390902249206,0.000574305421643831
