Date: "11:43:01 29/03/2019"

Cycle,Timestamp,C(13),Mode,Na(23),Mode,Mg(24),Mode,Mg(25),Mode,Al(27),Mode,Si(29),Mode,Ca(43),Mode,Ca(44),Mode,Mn(55),Mode,Zn(66),Mode,Sr(86),Mode,Sr(88),Mode,Ba(137),Mode,Ba(138),Mode,Th(232),Mode,U(238),Mode,Th(248),Mode

1,229.67499,42756.54,1,175636.22,1,200.00,1,192.31,1,2895.68,1,15297.28,1,2602.57,1,10791.93,1,1058.88,1,74.63,1,945.47,1,1051.30,1,179.27,1,1000.01,1,00.00E00,1,00.00E00,1,00.00E00,1

2,230.77499,41577.50,1,168137.03,1,766.05,1,00.00E00,1,2238.11,1,12476.77,1,3588.56,1,12917.24,1,1509.20,1,74.63,1,1409.12,1,651.71,1,00.00E00,1,1140.37,1,00.00E00,1,00.00E00,1,00.00E00,1

3,231.87499,38819.13,1,177323.80,1,577.36,1,409.70,1,2842.93,1,14348.96,1,3439.29,1,12455.55,1,1067.29,1,82.64,1,1145.47,1,1799.19,1,84.03,1,859.66,1,00.00E00,1,00.00E00,1,00.00E00,1

4,232.97499,48719.01,1,165494.29,1,388.68,1,00.00E00,1,3136.55,1,14017.13,1,1591.37,1,12110.62,1,866.98,1,00.00E00,1,1445.48,1,955.14,1,274.51,1,421.05,1,00.00E00,1,00.00E00,1,00.00E00,1

5,234.07499,37840.40,1,166673.80,1,200.00,1,00.00E00,1,3463.58,1,15305.41,1,3639.02,1,11346.46,1,1133.81,1,82.64,1,1345.48,1,814.11,1,190.48,1,1087.73,1,00.00E00,1,00.00E00,1,00.00E00,1

6,235.17499,39352.99,1,169776.52,1,00.00E00,1,00.00E00,1,3022.27,1,10868.17,1,2180.01,1,12325.54,1,1342.53,1,82.64,1,754.55,1,1258.57,1,190.48,1,561.41,1,00.00E00,1,00.00E00,1,00.00E00,1

7,236.27499,48496.52,1,169955.70,1,188.68,1,00.00E00,1,2654.80,1,14519.75,1,3605.38,1,13347.09,1,775.24,1,00.00E00,1,2036.42,1,717.96,1,95.24,1,964.92,1,00.00E00,1,00.00E00,1,00.00E00,1

8,237.37499,42200.38,1,171362.31,1,188.68,1,00.00E00,1,2262.72,1,11818.03,1,3165.99,1,9271.65,1,925.09,1,165.29,1,1290.93,1,1051.30,1,453.78,1,1035.10,1,00.00E00,1,00.00E00,1,00.00E00,1

9,238.47499,33859.00,1,170711.26,1,00.00E00,1,00.00E00,1,2667.11,1,12919.19,1,2312.45,1,12251.24,1,950.32,1,00.00E00,1,1400.02,1,940.18,1,358.55,1,684.22,1,00.00E00,1,00.00E00,1,00.00E00,1

10,239.57499,41599.74,1,172547.97,1,600.00,1,217.39,1,2630.19,1,12793.95,1,2619.39,1,13532.83,1,1308.89,1,149.25,1,1745.49,1,1177.37,1,179.27,1,1052.65,1,00.00E00,1,42.55,1,00.00E00,1

11,240.67499,37217.58,1,179349.00,1,200.00,1,00.00E00,1,3349.30,1,12720.75,1,2585.75,1,12092.04,1,1492.38,1,00.00E00,1,2200.06,1,955.14,1,00.00E00,1,561.41,1,00.00E00,1,00.00E00,1,00.00E00,1

12,241.77499,39530.95,1,171926.76,1,188.68,1,00.00E00,1,4652.17,1,13174.56,1,3041.95,1,11383.61,1,1308.89,1,231.90,1,2254.61,1,970.10,1,263.31,1,771.94,1,00.00E00,1,00.00E00,1,00.00E00,1

13,242.87499,40042.58,1,169591.36,1,588.68,1,00.00E00,1,3704.46,1,14241.60,1,4185.63,1,13397.50,1,950.32,1,00.00E00,1,1900.05,1,1066.25,1,179.27,1,1000.01,1,00.00E00,1,00.00E00,1,00.00E00,1

14,243.97499,41199.32,1,174516.18,1,388.68,1,00.00E00,1,2704.03,1,12561.35,1,3340.48,1,11537.50,1,1834.14,1,00.00E00,1,1836.41,1,732.91,1,00.00E00,1,280.70,1,00.00E00,1,00.00E00,1,00.00E00,1

15,245.07499,41243.81,1,178228.86,1,00.00E00,1,00.00E00,1,3071.50,1,15617.73,1,2760.24,1,12460.86,1,1584.13,1,82.64,1,836.37,1,703.00,1,00.00E00,1,578.95,1,41.84,1,00.00E00,1,00.00E00,1

16,246.17499,37239.83,1,169250.92,1,400.00,1,217.39,1,2806.01,1,13795.91,1,4053.18,1,11051.95,1,1058.88,1,157.27,1,1245.47,1,621.80,1,179.27,1,368.42,1,00.00E00,1,00.00E00,1,00.00E00,1

17,247.27499,40843.40,1,179184.71,1,388.68,1,00.00E00,1,2250.42,1,15106.96,1,3157.58,1,14708.32,1,967.14,1,00.00E00,1,1445.48,1,829.07,1,84.03,1,807.03,1,00.00E00,1,00.00E00,1,00.00E00,1

18,248.37499,40198.29,1,161758.92,1,577.36,1,00.00E00,1,2667.11,1,11330.09,1,3365.71,1,13710.61,1,1567.31,1,82.64,1,963.65,1,1273.52,1,84.03,1,473.69,1,00.00E00,1,00.00E00,1,00.00E00,1

