Item,Value,Uncertainty,Uncertainty Type,Unit,Source,SRM
Ag,0.0011446252130239381,2.331206075780284e-05,SE,mol/molCa,GeoReM,NIST610
Al2O3,0.09407676343816318,0.0012955667624933902,SE,mol/molCa,GeoReM,NIST610
As,0.0021338276371801242,6.324930582754416e-05,SE,mol/molCa,GeoReM,NIST610
Au,5.8938970165416865e-05,2.229442546352815e-06,SE,mol/molCa,GeoReM,NIST610
B,0.015925211001789927,0.0013078088830990714,SE,mol/molCa,GeoReM,NIST610
Ba,0.0016190696070679808,2.192170981892031e-05,SE,mol/molCa,GeoReM,NIST610
Be,0.02598124853125217,0.0008940688372525672,SE,mol/molCa,GeoReM,NIST610
Bi,0.0009038757357836278,3.2255590632771616e-05,SE,mol/molCa,GeoReM,NIST610
Br,0.000572528942625888,,SE,mol/molCa,GeoReM,NIST610
CaO,1.0,1.416100796715761e-18,SE,mol/molCa,GeoReM,NIST610
Cd,0.0011815115490195988,3.725479118408188e-05,SE,mol/molCa,GeoReM,NIST610
Ce,0.0015903528429827318,2.0198336869361384e-05,SE,mol/molCa,GeoReM,NIST610
Cl,0.0038017240517591614,0.00047551439790193787,SE,mol/molCa,GeoReM,NIST610
Co,0.0034222115410835058,5.245845884263195e-05,SE,mol/molCa,GeoReM,NIST610
CO2,2.23545833305927e-05,,SE,mol/molCa,GeoReM,NIST610
Cr,0.0038598676277239023,5.935850962866292e-05,SE,mol/molCa,GeoReM,NIST610
Cs,0.001354631946402895,2.0877231880509223e-05,SE,mol/molCa,GeoReM,NIST610
Cu,0.0034137631752878565,6.665818619487562e-05,SE,mol/molCa,GeoReM,NIST610
Dy,0.0013228514871794874,2.070816351078432e-05,SE,mol/molCa,GeoReM,NIST610
Er,0.0013381503714745167,2.4181866468783964e-05,SE,mol/molCa,GeoReM,NIST610
Eu,0.001446937674989506,2.3675037736124927e-05,SE,mol/molCa,GeoReM,NIST610
F,0.00787117379071802,,SE,mol/molCa,GeoReM,NIST610
Fe,0.004034262942700112,5.4221010288261936e-05,SE,mol/molCa,GeoReM,NIST610
Ga,0.0030548848815525904,5.419797234217124e-05,SE,mol/molCa,GeoReM,NIST610
Gd,0.0014045548545449475,2.2909878217283282e-05,SE,mol/molCa,GeoReM,NIST610
Ge,0.0030270159256897754,0.00027085052014093965,SE,mol/molCa,GeoReM,NIST610
H,0.007320480646822127,,SE,mol/molCa,GeoReM,NIST610
H2O,0.003549648536170505,,SE,mol/molCa,GeoReM,NIST610
Hf,0.0011988321622028067,1.9996208495366144e-05,SE,mol/molCa,GeoReM,NIST610
Ho,0.0013391488652734864,2.184303255864535e-05,SE,mol/molCa,GeoReM,NIST610
In,0.0018593569441554033,4.474147137985601e-05,SE,mol/molCa,GeoReM,NIST610
K,0.005837718165248896,0.00014457282090977439,SE,mol/molCa,GeoReM,NIST610
La,0.0015581750738401163,2.2824802561383985e-05,SE,mol/molCa,GeoReM,NIST610
Li,0.03316704858241267,0.0009171697686692477,SE,mol/molCa,GeoReM,NIST610
Lu,0.001234216627716966,1.5928772633119045e-05,SE,mol/molCa,GeoReM,NIST610
Mg,0.00937,0.00028,SE,mol/molCa,Internal Lab Reference,NIST610
