Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
CO2,NIST610,0.0002,,,%m/m,GeoReM 5211,Jochum et al 2011,44.0095,2e-06,,4.5444733523443794e-08,
H2O,NIST610,0.013000000000000001,,,%m/m,GeoReM 5211,Jochum et al 2011,18.01528,0.00013000000000000002,,7.21609655803296e-06,
Na2O,NIST610,13.4,0.3,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,61.97894,0.134,0.003,0.004324049,9.68071e-05
Al2O3,NIST610,1.95,0.04,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,101.961276,0.0195,0.0004,0.000382498,7.84612e-06
SiO2,NIST610,69.7,0.5,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,60.0843,0.6970000000000001,0.005,0.011600368149416737,8.321641427128218e-05
CaO,NIST610,11.4,0.2,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,56.077400000000004,0.114,0.002,0.002032904521250985,3.566499160089448e-05
H,NIST610,15.0,,,ug/g,GeoReM 5211,Jochum et al 2011,1.00794,1.5e-05,,1.4881838204655038e-05,
Li,NIST610,468.0,24.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,6.941,0.000468,2.4e-05,6.74254430197378e-05,3.45771502665322e-06
Be,NIST610,476.0,31.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,9.012182,0.000476,3.1e-05,5.2817397606928054e-05,3.4397884996108607e-06
B,NIST610,350.0,56.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,10.811,0.00035,5.6e-05,3.237443344741467e-05,5.1799093515863474e-06
F,NIST610,304.0,,,ug/g,GeoReM 5211,Jochum et al 2011,18.9984032,0.000304,,1.600134478670292e-05,
Mg,NIST610,465.3,29.0,95%CL,ug/g,GeoReM 5211,Eggins-Sadekov-Spero in-house value,24.305,0.0004653,2.9e-05,1.914420901049167e-05,1.1931701296029623e-06
P,NIST610,413.0,46.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,30.973761,0.000413,4.6e-05,1.3333866688000854e-05,1.4851280088330249e-06
