,Item,Value,Uncertainty,Uncertainty Type,Unit,Source,SRM
0,CO2,2.24e-05,,,mol/molCa,GeoRem,NIST610
1,H2O,0.003549649,,,mol/molCa,GeoRem,NIST610
2,Na2O,1.063515129,0.015124855,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
3,Al2O3,0.09407676300000001,0.001269655,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
4,SiO2,5.7063024989999995,0.054078136,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
5,CaO,1.0,1.39e-18,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
6,H,0.007320480999999999,,,mol/molCa,GeoRem,NIST610
7,Li,0.033167049,0.000898826,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
8,Be,0.025981248999999998,0.000876187,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
9,B,0.015925211,0.001281653,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
10,F,0.007871174,,,mol/molCa,GeoRem,NIST610
11,Mg,0.00937,0.00014,approx SD (0.5 * 95% CI),mol/molCa,Internal Lab Reference,NIST610
12,P,0.006559023000000001,0.000369776,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
13,S,0.008821035999999999,0.000257362,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
14,Cl,0.0038017240000000002,0.000466004,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
15,K,0.005837718,0.000141681,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
16,Sc,0.004978604,7e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
17,Ti,0.004644995,6.56e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
18,V,0.00434534,5.7799999999999995e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
19,Cr,0.003859868,5.8200000000000005e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
20,Mn,0.003975509,6.78e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
21,Fe,0.004034263,5.31e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
22,Co,0.003422212,5.14e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
23,Ni,0.003844346,3.77e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
24,Cu,0.0034137629999999998,6.53e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
25,Zn,0.00345942,7.42e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
26,Ga,0.003054885,5.31e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
27,Ge,0.0030270159999999996,0.000265434,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
28,As,0.002133828,6.2e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
29,Se,0.0008597160000000001,0.000131044,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
30,Br,0.000572529,,,mol/molCa,GeoRem,NIST610
31,Rb,0.002450102,2.17e-05,approx SD (0.5 * 95% CI),mol/molCa,GeoRem,NIST610
